CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
216010	3549.64209	1207384361367	0.54131	0.36382	3549.59277	0.04932	3666	1	0.54061	0.37240	1	0.56422	0.36572	1	0.55241	0.36906	1	0.31234	0.56692	15.63841	1.07383	1	0.69254	0.54573	15.67633	1.07193	1	-0.03381	-0.00937	0.64876	0.00407	1	0.03497	-0.00692	0.64775	0.00407	1	-0.56719	0.62583	0	0
216011	3549.65869	1207384419609	0.54358	0.36608	3549.59277	0.06592	3666	1	0.54210	0.37844	1	0.56328	0.37179	1	0.55269	0.37512	1	0.31234	0.56692	15.83862	1.06479	1	0.69254	0.54573	15.67633	1.06288	1	-0.03147	-0.00875	0.60616	0.00383	1	0.03497	-0.00692	0.64775	0.00405	1	-0.56719	0.62583	0	TRIALSTART=true
216012	3549.67480	1207384476472	0.54628	0.36902	3549.59277	0.08203	3666	1	0.57961	0.38159	1	0.53985	0.38591	1	0.55973	0.38375	1	0.31297	0.56648	15.84927	1.05574	1	0.69316	0.54630	15.44704	1.05383	1	-0.03147	-0.00875	0.60616	0.00383	1	0.03497	-0.00692	0.64775	0.00405	1	-0.56719	0.62583	0	STEP 1: 1493324702790
216013	3549.69141	1207384534676	0.54693	0.37421	3549.59277	0.09863	3666	1	0.56654	0.39823	1	0.53514	0.41236	1	0.55084	0.40530	1	0.31269	0.56673	15.57264	1.04669	1	0.69298	0.54634	15.86938	1.04479	1	-0.03147	-0.00875	0.60616	0.00383	1	0.03497	-0.00692	0.64775	0.00405	1	-0.56719	0.62583	0	0
216014	3549.70776	1207384592498	0.54746	0.37883	3549.59277	0.11499	3666	1	0.56789	0.40425	1	0.53440	0.41821	1	0.55115	0.41123	1	0.31265	0.56725	15.18169	1.03764	1	0.69304	0.54603	15.43910	1.03574	1	-0.03147	-0.00875	0.60616	0.00358	1	0.03497	-0.00692	0.64775	0.00388	1	-0.56719	0.62583	0	0
216015	3549.72437	1207384650508	0.54781	0.38042	3549.59277	0.13159	3666	1	0.57204	0.39882	1	0.52922	0.38738	1	0.55063	0.39310	1	0.31264	0.56745	15.47486	1.02860	1	0.69304	0.54603	15.43910	1.02669	1	-0.03147	-0.00875	0.60616	0.00358	1	0.03497	-0.00692	0.64775	0.00388	1	-0.56719	0.62583	0	0
216016	3549.74072	1207384708188	0.54890	0.38400	3549.59277	0.14795	3666	1	0.57304	0.41208	1	0.54434	0.42040	1	0.55869	0.41624	1	0.31261	0.56751	15.43013	1.01955	1	0.69304	0.54603	15.43910	1.01764	1	-0.03147	-0.00875	0.60616	0.00358	1	0.03497	-0.00692	0.64775	0.00388	1	-0.56719	0.62583	0	0
216017	3549.75732	1207384766465	0.54981	0.38748	3549.59277	0.16455	3666	1	0.57438	0.41815	1	0.54350	0.42632	1	0.55894	0.42224	1	0.31268	0.56739	15.46789	1.01050	1	0.69299	0.54615	15.42194	1.00860	1	-0.03147	-0.00875	0.60616	0.00355	1	0.03497	-0.00692	0.64775	0.00378	1	-0.56719	0.62583	0	0
216018	3549.77368	1207384824108	0.54952	0.39078	3549.59277	0.18091	3666	1	0.56573	0.42479	1	0.52692	0.42934	1	0.54632	0.42706	1	0.31266	0.56753	15.32333	1.00145	1	0.69306	0.54632	15.44647	1.00860	1	-0.03147	-0.00875	0.60616	0.00355	1	0.03497	-0.00692	0.64775	0.00378	1	-0.56719	0.62583	0	0
216019	3549.79004	1207384881634	0.55028	0.39276	3549.59277	0.19727	3666	1	0.56030	0.40908	1	0.55846	0.42403	1	0.55938	0.41656	1	0.31254	0.56714	15.65019	1.00145	1	0.69287	0.54616	15.54777	1.00860	1	-0.03147	-0.00875	0.60616	0.00355	1	0.03497	-0.00692	0.64775	0.00378	1	-0.56719	0.62583	0	0
216020	3549.80640	1207384939564	0.55093	0.39446	3549.59277	0.21362	3666	1	0.56030	0.40908	1	0.55846	0.42403	1	0.55938	0.41656	1	0.31253	0.56713	15.59973	1.00145	1	0.69307	0.54631	15.68354	1.00860	1	-0.03147	-0.00875	0.60616	0.00355	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216021	3549.82275	1207384996856	0.55185	0.39492	3549.59277	0.22998	3666	1	0.56810	0.39394	1	0.56144	0.40889	1	0.56477	0.40141	1	0.31256	0.56712	15.49271	1.00145	1	0.69284	0.54616	15.67624	1.00860	1	-0.03147	-0.00875	0.60616	0.00355	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216022	3549.83911	1207385054730	0.55272	0.39707	3549.59277	0.24634	3666	1	0.56375	0.42697	1	0.56776	0.43152	1	0.56576	0.42925	1	0.31275	0.56713	15.81809	1.00145	1	0.69297	0.54628	15.63147	1.00860	1	-0.03147	-0.00875	0.60616	0.00355	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216023	3549.85571	1207385113213	0.55349	0.39896	3549.59277	0.26294	3666	1	0.56375	0.42697	1	0.56776	0.43152	1	0.56576	0.42925	1	0.31265	0.56697	15.76470	1.00145	1	0.69305	0.54643	15.65416	1.00860	1	-0.03147	-0.00875	0.60616	0.00359	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216024	3549.87207	1207385170729	0.55380	0.40067	3549.59277	0.27930	3666	1	0.57832	0.46612	1	0.53991	0.39349	1	0.55911	0.42981	1	0.31280	0.56682	15.65924	1.00145	1	0.69321	0.54603	15.51309	1.00860	1	-0.03147	-0.00875	0.60616	0.00359	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216025	3549.88867	1207385228555	0.55480	0.40315	3549.59277	0.29590	3666	1	0.58729	0.46483	1	0.55818	0.43065	1	0.57273	0.44774	1	0.31304	0.56652	15.69574	1.00145	1	0.69366	0.54604	16.12509	1.00860	1	-0.03147	-0.00875	0.60616	0.00359	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216026	3549.90503	1207385286572	0.55566	0.40523	3549.59277	0.31226	3666	1	0.58602	0.45910	1	0.55820	0.43049	1	0.57211	0.44480	1	0.31305	0.56679	15.83985	1.01050	1	0.69397	0.54579	15.44146	1.00883	1	-0.03365	-0.00939	0.65047	0.00390	1	0.03287	-0.00648	0.60677	0.00354	1	-0.56719	0.62583	0	0
216027	3549.92139	1207385343773	0.55629	0.40554	3549.59277	0.32861	3666	1	0.59171	0.42345	1	0.54600	0.39995	1	0.56886	0.41170	1	0.31311	0.56671	15.77840	1.01074	1	0.69373	0.54563	15.71434	1.00907	1	-0.03365	-0.00939	0.65047	0.00390	1	0.03287	-0.00648	0.60677	0.00354	1	-0.56719	0.62583	0	0
216028	3549.93799	1207385402217	0.55689	0.40622	3549.59277	0.34521	3666	1	0.58522	0.44504	1	0.55380	0.39568	1	0.56951	0.42036	1	0.31307	0.56666	15.66894	1.01098	1	0.69395	0.54575	15.39827	1.00931	1	-0.03365	-0.00939	0.65047	0.00390	1	0.03287	-0.00648	0.60677	0.00354	1	-0.56719	0.62583	0	0
216029	3549.95435	1207385459901	0.55744	0.40696	3549.59277	0.36157	3666	1	0.58586	0.44800	1	0.55333	0.39881	1	0.56960	0.42341	1	0.31326	0.56646	15.82356	1.00639	1	0.69387	0.54562	15.44103	1.00472	1	-0.03243	-0.00903	0.62577	0.00374	1	0.03287	-0.00648	0.60677	0.00353	1	-0.56719	0.62583	0	0
216030	3549.97070	1207385517537	0.55761	0.40789	3549.59277	0.37793	3666	1	0.58095	0.44467	1	0.54212	0.41392	1	0.56153	0.42930	1	0.31307	0.56665	15.96648	1.00180	1	0.69372	0.54617	15.40560	1.00014	1	-0.03243	-0.00903	0.62577	0.00374	1	0.03287	-0.00648	0.60677	0.00353	1	-0.56719	0.62583	0	0
216031	3549.98706	1207385575164	0.55735	0.40865	3549.59277	0.39429	3666	1	0.57417	0.43028	1	0.52767	0.42325	1	0.55092	0.42676	1	0.31290	0.56687	15.90145	0.99722	1	0.69348	0.54568	15.77857	0.99555	1	-0.03243	-0.00903	0.62577	0.00374	1	0.03287	-0.00648	0.60677	0.00353	1	-0.56719	0.62583	0	0
216032	3550.00342	1207385632580	0.55712	0.40935	3549.59277	0.41064	3666	1	0.57487	0.43334	1	0.52800	0.42043	1	0.55144	0.42689	1	0.31304	0.56646	15.59302	0.99263	1	0.69348	0.54585	15.91258	0.99977	1	-0.03285	-0.00906	0.63156	0.00367	1	0.03497	-0.00692	0.64775	0.00386	1	-0.56719	0.62583	0	0
216033	3550.02002	1207385690795	0.55696	0.41025	3549.59277	0.42725	3666	1	0.56707	0.44465	1	0.53865	0.42281	1	0.55286	0.43373	1	0.31288	0.56660	15.40945	0.99685	1	0.69335	0.54583	15.60907	0.99495	1	-0.03285	-0.00906	0.63156	0.00367	1	0.03497	-0.00692	0.64775	0.00386	1	-0.56719	0.62583	0	0
216034	3550.03638	1207385748623	0.55696	0.41135	3549.59277	0.44360	3666	1	0.57634	0.45458	1	0.53734	0.42724	1	0.55684	0.44091	1	0.31278	0.56669	15.87166	1.00083	1	0.69343	0.54564	15.88704	0.99893	1	-0.03285	-0.00906	0.63156	0.00367	1	0.03497	-0.00692	0.64775	0.00386	1	-0.56719	0.62583	0	0
216035	3550.05273	1207385806411	0.55695	0.41228	3549.59277	0.45996	3666	1	0.57575	0.45202	1	0.53769	0.42461	1	0.55672	0.43832	1	0.31269	0.56692	15.69582	1.00482	1	0.69350	0.54583	15.76760	1.00291	1	-0.03243	-0.00903	0.62577	0.00370	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216036	3550.06934	1207385864161	0.55717	0.41265	3549.59277	0.47656	3666	1	0.58331	0.45853	1	0.54411	0.38818	1	0.56371	0.42335	1	0.31292	0.56679	15.64552	1.00880	1	0.69379	0.54598	15.73201	1.01172	1	-0.03243	-0.00903	0.62577	0.00370	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216037	3550.08569	1207385921951	0.55760	0.41209	3549.59277	0.49292	3666	1	0.58315	0.42054	1	0.55750	0.37039	1	0.57032	0.39546	1	0.31327	0.56672	15.91143	1.01761	1	0.69378	0.54580	15.69274	1.02053	1	-0.03243	-0.00903	0.62577	0.00370	1	0.03497	-0.00692	0.64775	0.00384	1	-0.56719	0.62583	0	0
216038	3550.10181	1207385979053	0.55798	0.41133	3549.59277	0.50903	3666	1	0.58124	0.41147	1	0.55842	0.36413	1	0.56983	0.38780	1	0.31317	0.56637	15.80864	1.03125	1	0.69396	0.54599	15.78621	1.02947	1	-0.03319	-0.00920	0.64157	0.00392	1	0.03382	-0.00666	0.62333	0.00380	1	-0.56719	0.62583	0	0
216039	3550.11841	1207386037319	0.55832	0.41101	3549.59277	0.52563	3666	1	0.56666	0.40090	1	0.57190	0.40013	1	0.56928	0.40051	1	0.31383	0.56616	15.89836	1.04018	1	0.69400	0.54592	15.75498	1.03841	1	-0.03319	-0.00920	0.64157	0.00392	1	0.03382	-0.00666	0.62333	0.00380	1	-0.56719	0.62583	0	0
216040	3550.13501	1207386095205	0.55911	0.41055	3549.59277	0.54224	3666	1	0.57461	0.41498	1	0.59565	0.37579	1	0.58513	0.39539	1	0.31386	0.56612	15.75983	1.04031	1	0.69409	0.54573	15.70963	1.03853	1	-0.03319	-0.00920	0.64157	0.00392	1	0.03382	-0.00666	0.62333	0.00380	1	-0.56719	0.62583	0	0
216041	3550.15137	1207386152970	0.55986	0.41006	3549.59277	0.55859	3666	1	0.57460	0.41489	1	0.59630	0.37252	1	0.58545	0.39370	1	0.31378	0.56601	15.53749	1.04044	1	0.69422	0.54596	15.59406	1.04336	1	-0.03365	-0.00915	0.65047	0.00394	1	0.03569	-0.00702	0.65648	0.00401	1	-0.56719	0.62583	0	0
216042	3550.16797	1207386211816	0.55978	0.40975	3549.59277	0.57520	3666	1	0.54495	0.42049	1	0.56872	0.37683	1	0.55683	0.39866	1	0.31398	0.56586	15.82222	1.04526	1	0.69474	0.54608	15.91436	1.04818	1	-0.03365	-0.00915	0.65047	0.00394	1	0.03569	-0.00702	0.65648	0.00401	1	-0.56719	0.62583	0	0
216043	3550.18433	1207386268618	0.55958	0.40883	3549.59277	0.59155	3666	1	0.56239	0.37844	1	0.54247	0.37313	1	0.55243	0.37579	1	0.31429	0.56602	15.69863	1.05009	1	0.69460	0.54605	15.75936	1.05301	1	-0.03365	-0.00915	0.65047	0.00394	1	0.03569	-0.00702	0.65648	0.00401	1	-0.56719	0.62583	0	0
216044	3550.20068	1207386326376	0.55939	0.40796	3549.59277	0.60791	3666	1	0.56239	0.37844	1	0.54247	0.37313	1	0.55243	0.37579	1	0.31412	0.56633	15.85732	1.05009	1	0.69472	0.54626	16.00439	1.05301	1	-0.03244	-0.00887	0.63041	0.00394	1	0.03569	-0.00702	0.65648	0.00415	1	-0.56719	0.62583	0	0
216045	3550.21729	1207386384575	0.55930	0.40813	3549.59277	0.62451	3666	1	0.56341	0.44571	1	0.54806	0.38325	1	0.55573	0.41448	1	0.31443	0.56626	15.92184	1.05009	1	0.69501	0.54617	15.76961	1.04818	1	-0.03244	-0.00887	0.63041	0.00394	1	0.03569	-0.00702	0.65648	0.00415	1	-0.56719	0.62583	0	0
216046	3550.23364	1207386442252	0.55936	0.40821	3549.59277	0.64087	3666	1	0.57152	0.45765	1	0.55187	0.36505	1	0.56169	0.41135	1	0.31432	0.56632	16.18661	1.04996	1	0.69481	0.54616	15.89651	1.04806	1	-0.03244	-0.00887	0.63041	0.00394	1	0.03569	-0.00702	0.65648	0.00415	1	-0.56719	0.62583	0	0
216047	3550.24976	1207386499536	0.55941	0.40825	3549.59277	0.65698	3666	1	0.57083	0.45479	1	0.55187	0.36505	1	0.56135	0.40992	1	0.31459	0.56640	15.87859	1.05466	1	0.69501	0.54604	15.97392	1.04806	1	-0.03322	-0.00934	0.64670	0.00406	1	0.03399	-0.00691	0.62424	0.00392	1	-0.56719	0.62583	0	0
216048	3550.26636	1207386557438	0.56048	0.41286	3549.59277	0.67358	3666	1	0.59054	0.59288	1	0.61874	0.61086	1	0.60464	0.60187	1	0.31508	0.57303	15.80070	1.05466	1	0.69585	0.55308	15.53734	1.04806	1	-0.03322	-0.00934	0.64670	0.00406	1	0.03399	-0.00691	0.62424	0.00392	1	-0.56719	0.62583	0	0
216049	3550.28271	1207386614948	0.56099	0.41853	3549.59277	0.68994	3666	1	0.58895	0.65477	1	0.57510	0.65816	1	0.58203	0.65646	1	0.31522	0.57364	15.70998	1.04996	1	0.69601	0.55428	15.87131	1.04336	1	-0.03322	-0.00934	0.64670	0.00406	1	0.03399	-0.00691	0.62424	0.00392	1	-0.56719	0.62583	0	0
216050	3550.29907	1207386673018	0.57078	0.45779	3549.59277	0.68994	3666	0	0.59027	0.65885	1	0.57453	0.66014	1	0.58240	0.65950	1	0.31526	0.57490	15.77063	1.04044	1	0.69618	0.55464	15.67379	1.03853	1	-0.03217	-0.00951	0.62975	0.00387	1	0.03506	-0.00741	0.64267	0.00392	1	-0.56719	0.62583	0	0
216051	3550.31567	1207386730858	0.59074	0.55409	3549.59277	0.68994	3666	0	0.60785	0.64750	1	0.61356	0.65331	1	0.61070	0.65040	1	0.31548	0.57500	16.13271	1.03561	1	0.69632	0.55534	16.26937	1.03853	1	-0.03217	-0.00951	0.62975	0.00387	1	0.03506	-0.00741	0.64267	0.00392	1	-0.56719	0.62583	0	0
216052	3550.33203	1207386788183	0.59428	0.58633	3549.59277	0.68994	3666	0	0.62009	0.65192	1	0.58263	0.64967	1	0.60136	0.65079	1	0.31564	0.57497	16.07512	1.03561	1	0.69648	0.55534	16.54240	1.03853	1	-0.03217	-0.00951	0.62975	0.00387	1	0.03506	-0.00741	0.64267	0.00392	1	-0.56719	0.62583	0	0
216053	3550.34839	1207386846549	0.60448	0.64997	3549.59277	0.68994	3666	0	0.61954	0.64979	1	0.58324	0.64764	1	0.60139	0.64872	1	0.31563	0.57513	15.85959	1.04044	1	0.69680	0.55520	15.92010	1.04336	1	-0.03324	-0.00984	0.65195	0.00403	1	0.03537	-0.00743	0.64404	0.00401	1	-0.56719	0.62583	0	0
216054	3550.36475	1207386903773	0.59273	0.65398	3549.59277	0.68994	3666	0	0.59460	0.66479	1	0.56733	0.65118	1	0.58097	0.65798	1	0.31606	0.57518	16.35230	1.04526	1	0.69731	0.55581	16.03729	1.04336	1	-0.03324	-0.00984	0.65195	0.00403	1	0.03537	-0.00743	0.64404	0.00401	1	-0.56719	0.62583	0	0
216055	3550.38135	1207386961773	0.59352	0.66636	3549.59277	0.68994	3666	0	0.60606	0.70818	1	0.58416	0.67407	1	0.59511	0.69113	1	0.31609	0.57548	16.09425	1.04996	1	0.69768	0.55578	15.92863	1.04806	1	-0.03324	-0.00984	0.65195	0.00403	1	0.03537	-0.00743	0.64404	0.00401	1	-0.56719	0.62583	0	0
216056	3550.39771	1207387019597	0.59384	0.67279	3550.34839	0.04932	3667	1	0.60608	0.70823	1	0.58355	0.67597	1	0.59481	0.69210	1	0.31630	0.57536	15.81412	1.04983	1	0.69747	0.55601	16.31075	1.04323	1	-0.03223	-0.00962	0.63336	0.00394	1	0.03474	-0.00734	0.63150	0.00403	1	-0.56719	0.62583	0	0
216057	3550.41406	1207387077411	0.59161	0.66473	3550.34839	0.06567	3667	1	0.59050	0.61376	1	0.57486	0.65121	1	0.58268	0.63248	1	0.31654	0.57549	16.13394	1.04501	1	0.69788	0.55638	16.15655	1.04323	1	-0.03223	-0.00962	0.63336	0.00394	1	0.03474	-0.00734	0.63150	0.00403	1	-0.56719	0.62583	0	0
216058	3550.43066	1207387135620	0.58995	0.66146	3550.34839	0.08228	3667	1	0.58708	0.62776	1	0.57619	0.66241	1	0.58164	0.64509	1	0.31649	0.57543	16.04231	1.04031	1	0.69810	0.55655	16.20907	1.03853	1	-0.03223	-0.00962	0.63336	0.00394	1	0.03474	-0.00734	0.63150	0.00403	1	-0.56719	0.62583	0	0
216059	3550.44702	1207387193319	0.58881	0.65927	3550.34839	0.09863	3667	1	0.58774	0.62991	1	0.57619	0.66241	1	0.58196	0.64616	1	0.31675	0.57571	16.57548	1.03561	1	0.69817	0.55655	16.05428	1.03853	1	-0.03166	-0.00948	0.62433	0.00402	1	0.03577	-0.00767	0.64912	0.00406	1	-0.56719	0.62583	0	0
216060	3550.46362	1207387251239	0.58722	0.65504	3550.34839	0.11523	3667	1	0.59706	0.65654	1	0.55515	0.59421	1	0.57611	0.62537	1	0.31690	0.57541	16.45105	1.03561	1	0.69819	0.55656	16.12700	1.03371	1	-0.03166	-0.00948	0.62433	0.00402	1	0.03577	-0.00767	0.64912	0.00406	1	-0.56719	0.62583	0	0
216061	3550.47998	1207387308992	0.58455	0.65335	3550.34839	0.13159	3667	1	0.57276	0.65017	1	0.55358	0.62964	1	0.56317	0.63990	1	0.31711	0.57534	16.68092	1.03079	1	0.69823	0.55649	16.51922	1.02888	1	-0.03166	-0.00948	0.62433	0.00402	1	0.03577	-0.00767	0.64912	0.00406	1	-0.56719	0.62583	0	0
216062	3550.49634	1207387366737	0.58241	0.65201	3550.34839	0.14795	3667	1	0.57276	0.65017	1	0.55358	0.62964	1	0.56317	0.63990	1	0.31713	0.57531	16.63839	1.03079	1	0.69834	0.55667	16.55151	1.02888	1	-0.03307	-0.00992	0.65342	0.00420	1	0.03505	-0.00745	0.63610	0.00406	1	-0.56719	0.62583	0	0
216063	3550.51294	1207387424754	0.58128	0.64987	3550.34839	0.16455	3667	1	0.57386	0.63151	1	0.56604	0.62555	1	0.56995	0.62853	1	0.31714	0.57529	16.61204	1.03079	1	0.69841	0.55661	16.65381	1.03371	1	-0.03307	-0.00992	0.65342	0.00420	1	0.03505	-0.00745	0.63610	0.00406	1	-0.56719	0.62583	0	0
216064	3550.52930	1207387482439	0.58002	0.64803	3550.34839	0.18091	3667	1	0.56671	0.68215	1	0.56569	0.57341	1	0.56620	0.62778	1	0.31724	0.57554	16.95712	1.04031	1	0.69842	0.55669	16.77836	1.04323	1	-0.03307	-0.00992	0.65342	0.00420	1	0.03505	-0.00745	0.63610	0.00406	1	-0.56719	0.62583	0	0
216065	3550.54565	1207387540203	0.57892	0.64624	3550.34839	0.19727	3667	1	0.56520	0.67828	1	0.56623	0.57103	1	0.56571	0.62466	1	0.31722	0.57521	16.82753	1.04983	1	0.69848	0.55651	16.91158	1.04806	1	-0.03307	-0.00992	0.65342	0.00433	1	0.03456	-0.00734	0.62599	0.00416	1	-0.56719	0.62583	0	0
216066	3550.56226	1207387598182	0.57849	0.64649	3550.34839	0.21387	3667	1	0.57401	0.65656	1	0.57172	0.64309	1	0.57287	0.64982	1	0.31724	0.57500	16.71082	1.05466	1	0.69858	0.55639	16.65166	1.05288	1	-0.03307	-0.00992	0.65342	0.00433	1	0.03456	-0.00734	0.62599	0.00416	1	-0.56719	0.62583	0	0
216067	3550.57861	1207387655848	0.57752	0.64695	3550.34839	0.23022	3667	1	0.55926	0.64858	1	0.56862	0.65802	1	0.56394	0.65330	1	0.31723	0.57498	16.65182	1.05479	1	0.69856	0.55627	16.60397	1.05301	1	-0.03307	-0.00992	0.65342	0.00433	1	0.03456	-0.00734	0.62599	0.00416	1	-0.56719	0.62583	0	0
216068	3550.59497	1207387713984	0.57669	0.64728	3550.34839	0.24658	3667	1	0.55924	0.64852	1	0.56916	0.65605	1	0.56420	0.65229	1	0.31710	0.57472	17.04110	1.05491	1	0.69855	0.55607	16.71336	1.05783	1	-0.03307	-0.00992	0.65342	0.00440	1	0.03577	-0.00755	0.64912	0.00430	1	-0.56719	0.62583	0	0
216069	3550.61133	1207387771382	0.57650	0.64801	3550.34839	0.26294	3667	1	0.57565	0.67608	1	0.57125	0.64331	1	0.57345	0.65970	1	0.31706	0.57471	16.99928	1.05974	1	0.69849	0.55620	17.02365	1.05783	1	-0.03307	-0.00992	0.65342	0.00440	1	0.03577	-0.00755	0.64912	0.00430	1	-0.56719	0.62583	0	0
216070	3550.62769	1207387828761	0.57607	0.64789	3550.34839	0.27930	3667	1	0.56907	0.66391	1	0.56860	0.62783	1	0.56883	0.64587	1	0.31710	0.57537	16.68913	1.05974	1	0.69831	0.55621	16.73883	1.05783	1	-0.03307	-0.00992	0.65342	0.00440	1	0.03577	-0.00755	0.64912	0.00430	1	-0.56719	0.62583	0	0
